drug,event,count,ror,ror_ci_lower,ror_ci_upper,prr,chi2,signal_flagged,rationale
DUPIXENT,Skin haemorrhage,301,9.49,8.43,10.68,9.46,2079.25,True,"DUPIXENT was reported with 'Skin haemorrhage' in 301 cases. This combination occurs 9.49x more often than expected (95% CI: 8.43-10.68, entirely above 1, meaning the result is statistically significant). PRR=9.46 (≥2 threshold met), chi2=2079.25 (≥4 threshold met)."
ACETAMINOPHEN,Acute hepatic failure,144,18.99,15.9,22.69,18.97,2072.29,True,"ACETAMINOPHEN was reported with 'Acute hepatic failure' in 144 cases. This combination occurs 18.99x more often than expected (95% CI: 15.9-22.69, entirely above 1, meaning the result is statistically significant). PRR=18.97 (≥2 threshold met), chi2=2072.29 (≥4 threshold met)."
DUPIXENT,Eyelid skin dryness,49,75.32,51.91,109.27,75.28,2034.03,True,"DUPIXENT was reported with 'Eyelid skin dryness' in 49 cases. This combination occurs 75.32x more often than expected (95% CI: 51.91-109.27, entirely above 1, meaning the result is statistically significant). PRR=75.28 (≥2 threshold met), chi2=2034.03 (≥4 threshold met)."
TYMLOS,Injection site haemorrhage,201,12.1,10.49,13.96,12.06,1922.93,True,"TYMLOS was reported with 'Injection site haemorrhage' in 201 cases. This combination occurs 12.1x more often than expected (95% CI: 10.49-13.96, entirely above 1, meaning the result is statistically significant). PRR=12.06 (≥2 threshold met), chi2=1922.93 (≥4 threshold met)."
RITUXIMAB,Chronic lymphocytic leukaemia recurrent,43,70.02,48.37,101.36,69.98,1909.87,True,"RITUXIMAB was reported with 'Chronic lymphocytic leukaemia recurrent' in 43 cases. This combination occurs 70.02x more often than expected (95% CI: 48.37-101.36, entirely above 1, meaning the result is statistically significant). PRR=69.98 (≥2 threshold met), chi2=1909.87 (≥4 threshold met)."
DUPIXENT,Injection site bruising,425,6.42,5.82,7.08,6.39,1817.28,True,"DUPIXENT was reported with 'Injection site bruising' in 425 cases. This combination occurs 6.42x more often than expected (95% CI: 5.82-7.08, entirely above 1, meaning the result is statistically significant). PRR=6.39 (≥2 threshold met), chi2=1817.28 (≥4 threshold met)."
DUPIXENT,Lack of injection site rotation,48,64.68,44.93,93.11,64.65,1814.75,True,"DUPIXENT was reported with 'Lack of injection site rotation' in 48 cases. This combination occurs 64.68x more often than expected (95% CI: 44.93-93.11, entirely above 1, meaning the result is statistically significant). PRR=64.65 (≥2 threshold met), chi2=1814.75 (≥4 threshold met)."
DUPIXENT,Idiopathic urticaria,70,35.14,26.75,46.17,35.12,1709.57,True,"DUPIXENT was reported with 'Idiopathic urticaria' in 70 cases. This combination occurs 35.14x more often than expected (95% CI: 26.75-46.17, entirely above 1, meaning the result is statistically significant). PRR=35.12 (≥2 threshold met), chi2=1709.57 (≥4 threshold met)."
TYMLOS,Feeling abnormal,424,5.88,5.34,6.48,5.84,1653.39,True,"TYMLOS was reported with 'Feeling abnormal' in 424 cases. This combination occurs 5.88x more often than expected (95% CI: 5.34-6.48, entirely above 1, meaning the result is statistically significant). PRR=5.84 (≥2 threshold met), chi2=1653.39 (≥4 threshold met)."
TYMLOS,Arthralgia,1063,3.31,3.11,3.52,3.26,1650.6,True,"TYMLOS was reported with 'Arthralgia' in 1063 cases. This combination occurs 3.31x more often than expected (95% CI: 3.11-3.52, entirely above 1, meaning the result is statistically significant). PRR=3.26 (≥2 threshold met), chi2=1650.6 (≥4 threshold met)."
TYMLOS,Waist circumference increased,38,57.73,40.24,82.83,57.69,1643.65,True,"TYMLOS was reported with 'Waist circumference increased' in 38 cases. This combination occurs 57.73x more often than expected (95% CI: 40.24-82.83, entirely above 1, meaning the result is statistically significant). PRR=57.69 (≥2 threshold met), chi2=1643.65 (≥4 threshold met)."
ACETAMINOPHEN,Intentional overdose,301,7.73,6.88,8.7,7.71,1637.39,True,"ACETAMINOPHEN was reported with 'Intentional overdose' in 301 cases. This combination occurs 7.73x more often than expected (95% CI: 6.88-8.7, entirely above 1, meaning the result is statistically significant). PRR=7.71 (≥2 threshold met), chi2=1637.39 (≥4 threshold met)."
INFLIXIMAB,Anal fissure,112,17.9,14.75,21.72,17.86,1634.27,True,"INFLIXIMAB was reported with 'Anal fissure' in 112 cases. This combination occurs 17.9x more often than expected (95% CI: 14.75-21.72, entirely above 1, meaning the result is statistically significant). PRR=17.86 (≥2 threshold met), chi2=1634.27 (≥4 threshold met)."
TYMLOS,Product storage error,226,9.25,8.09,10.57,9.21,1581.87,True,"TYMLOS was reported with 'Product storage error' in 226 cases. This combination occurs 9.25x more often than expected (95% CI: 8.09-10.57, entirely above 1, meaning the result is statistically significant). PRR=9.21 (≥2 threshold met), chi2=1581.87 (≥4 threshold met)."
TYMLOS,Growing pains,18,156.88,84.66,290.73,156.83,1563.44,True,"TYMLOS was reported with 'Growing pains' in 18 cases. This combination occurs 156.88x more often than expected (95% CI: 84.66-290.73, entirely above 1, meaning the result is statistically significant). PRR=156.83 (≥2 threshold met), chi2=1563.44 (≥4 threshold met)."
INFLIXIMAB,Condition aggravated,991,3.33,3.12,3.54,3.28,1552.99,True,"INFLIXIMAB was reported with 'Condition aggravated' in 991 cases. This combination occurs 3.33x more often than expected (95% CI: 3.12-3.54, entirely above 1, meaning the result is statistically significant). PRR=3.28 (≥2 threshold met), chi2=1552.99 (≥4 threshold met)."
ACETAMINOPHEN,Completed suicide,408,5.85,5.29,6.46,5.83,1545.68,True,"ACETAMINOPHEN was reported with 'Completed suicide' in 408 cases. This combination occurs 5.85x more often than expected (95% CI: 5.29-6.46, entirely above 1, meaning the result is statistically significant). PRR=5.83 (≥2 threshold met), chi2=1545.68 (≥4 threshold met)."
TYMLOS,Pollakiuria,189,10.33,8.92,11.96,10.29,1509.13,True,"TYMLOS was reported with 'Pollakiuria' in 189 cases. This combination occurs 10.33x more often than expected (95% CI: 8.92-11.96, entirely above 1, meaning the result is statistically significant). PRR=10.29 (≥2 threshold met), chi2=1509.13 (≥4 threshold met)."
ASPIRIN,Oesophageal intramural haematoma,22,99.03,58.72,167.02,98.99,1364.42,True,"ASPIRIN was reported with 'Oesophageal intramural haematoma' in 22 cases. This combination occurs 99.03x more often than expected (95% CI: 58.72-167.02, entirely above 1, meaning the result is statistically significant). PRR=98.99 (≥2 threshold met), chi2=1364.42 (≥4 threshold met)."
DUPIXENT,Eyelids pruritus,64,29.7,22.46,39.28,29.68,1362.54,True,"DUPIXENT was reported with 'Eyelids pruritus' in 64 cases. This combination occurs 29.7x more often than expected (95% CI: 22.46-39.28, entirely above 1, meaning the result is statistically significant). PRR=29.68 (≥2 threshold met), chi2=1362.54 (≥4 threshold met)."
DUPIXENT,Oesophageal food impaction,43,48.06,33.38,69.22,48.04,1330.63,True,"DUPIXENT was reported with 'Oesophageal food impaction' in 43 cases. This combination occurs 48.06x more often than expected (95% CI: 33.38-69.22, entirely above 1, meaning the result is statistically significant). PRR=48.04 (≥2 threshold met), chi2=1330.63 (≥4 threshold met)."
